GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seguridadcalidad,com.duoc.seguridadcalidad,PatientController,0,9,0,0,0,4,0,4,0,4
seguridadcalidad,com.duoc.seguridadcalidad,AuthRequest,0,17,0,0,0,7,0,5,0,5
seguridadcalidad,com.duoc.seguridadcalidad,Appointment,0,66,0,0,0,28,0,14,0,14
seguridadcalidad,com.duoc.seguridadcalidad,PatientRestController,0,87,0,8,0,21,0,8,0,4
seguridadcalidad,com.duoc.seguridadcalidad,PetRestController,26,160,6,6,6,29,6,8,0,8
seguridadcalidad,com.duoc.seguridadcalidad,BackendService,548,269,9,7,118,49,16,9,9,8
seguridadcalidad,com.duoc.seguridadcalidad,Patient,0,66,0,0,0,28,0,14,0,14
seguridadcalidad,com.duoc.seguridadcalidad,AppointmentRepository,0,37,0,2,0,8,0,4,0,3
seguridadcalidad,com.duoc.seguridadcalidad,InvoiceController,96,67,4,4,28,18,4,6,1,5
seguridadcalidad,com.duoc.seguridadcalidad,LoginController,0,5,0,0,0,2,0,2,0,2
seguridadcalidad,com.duoc.seguridadcalidad,JwtAuthenticationFilter,0,8,0,0,0,3,0,2,0,2
seguridadcalidad,com.duoc.seguridadcalidad,JwtUtil,0,3,0,0,0,1,0,1,0,1
seguridadcalidad,com.duoc.seguridadcalidad,InvoiceLineItemType,0,21,0,0,0,4,0,1,0,1
seguridadcalidad,com.duoc.seguridadcalidad,AuthController,33,63,1,1,9,16,1,5,0,5
seguridadcalidad,com.duoc.seguridadcalidad,AuthResponse,0,9,0,0,0,4,0,2,0,2
seguridadcalidad,com.duoc.seguridadcalidad,InvoiceLineItem,0,66,0,0,0,28,0,14,0,14
seguridadcalidad,com.duoc.seguridadcalidad,InvoicePageController,0,9,0,0,0,4,0,4,0,4
seguridadcalidad,com.duoc.seguridadcalidad,PetController,0,7,0,0,0,3,0,3,0,3
seguridadcalidad,com.duoc.seguridadcalidad,PatientRepository,0,37,0,2,0,8,0,4,0,3
seguridadcalidad,com.duoc.seguridadcalidad,WebSecurityConfig,0,151,0,0,0,29,0,11,0,11
seguridadcalidad,com.duoc.seguridadcalidad,SeguridadcalidadApplication,5,3,0,0,2,1,1,1,1,1
seguridadcalidad,com.duoc.seguridadcalidad,AppointmentRestController,0,87,0,8,0,21,0,8,0,4
seguridadcalidad,com.duoc.seguridadcalidad,AppointmentController,0,9,0,0,0,4,0,4,0,4
seguridadcalidad,com.duoc.seguridadcalidad,InvoiceCreateRequest,0,36,0,0,0,14,0,9,0,9
seguridadcalidad,com.duoc.seguridadcalidad,Invoice,0,106,0,0,0,41,0,20,0,20
seguridadcalidad,com.duoc.seguridadcalidad,JwtCookieService,33,68,10,4,4,25,6,5,0,4
seguridadcalidad,com.duoc.seguridadcalidad,HomeController,0,17,0,0,0,5,0,3,0,3
